event_id,event_name,show_id,show_start,show_end,ticketed,base_price
1016671,MAS Management Development Programme I,2046425,2016-03-23 09:00,2016-03-23 12:00,N,NULL
1016671,MAS Management Development Programme I,2046406,2016-03-21 09:00,2016-03-21 12:00,N,NULL
1016671,MAS Management Development Programme I,2046418,2016-03-22 14:30,2016-03-22 18:00,N,NULL
1016671,MAS Management Development Programme I,2046407,2016-03-21 14:30,2016-03-21 18:00,N,NULL
1016671,MAS Management Development Programme I,2046438,2016-03-24 14:30,2016-03-24 18:00,N,NULL
1016671,MAS Management Development Programme I,2046437,2016-03-24 09:00,2016-03-24 12:00,N,NULL
1016671,MAS Management Development Programme I,2046426,2016-03-23 14:30,2016-03-23 18:00,N,NULL
1016671,MAS Management Development Programme I,2046417,2016-03-22 09:00,2016-03-22 12:00,N,NULL
1016670,Limelight 2016: Yio Chu Kang Secondary School Choir,2046403,2016-03-21 20:30,2016-03-21 21:10,N,NULL
1016669,ATC 2016 - Cool Classics: Singapore Pocket Opera Theatre,2046397,2016-03-20 20:15,2016-03-20 20:45,N,NULL
1016669,ATC 2016 - Cool Classics: Singapore Pocket Opera Theatre,2046396,2016-03-20 19:15,2016-03-20 19:45,N,NULL
1016668,ATC 2016 - Cool Classics: Loke Hoe Kit,2046395,2016-03-20 17:00,2016-03-20 17:30,N,NULL
1016668,ATC 2016 - Cool Classics: Loke Hoe Kit,2046394,2016-03-20 16:00,2016-03-20 16:30,N,NULL
1016668,ATC 2016 - Cool Classics: Loke Hoe Kit,2046393,2016-03-20 15:00,2016-03-20 15:30,N,NULL
1016666,El Viento Aumenta,2046390,2016-03-20 17:55,2016-03-20 18:30,N,NULL
1016665,SSO VCH Mar 2016 - VCH Chamber Series: Grieg's Holberg Suite,2046388,2016-03-20 16:55,2016-03-20 17:30,N,NULL
1016664,Beautiful Sunday: Vernal Bloom (by kidsphilharmonic@sg),2046386,2016-03-20 15:00,2016-03-20 16:00,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046470,2016-03-26 13:00,2016-03-26 13:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046400,2016-03-20 13:00,2016-03-20 13:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046471,2016-03-26 15:00,2016-03-26 15:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046488,2016-03-27 15:00,2016-03-27 15:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046458,2016-03-25 13:00,2016-03-25 13:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046459,2016-03-25 15:00,2016-03-25 15:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046401,2016-03-20 15:00,2016-03-20 15:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046385,2016-03-19 15:00,2016-03-19 15:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046384,2016-03-19 13:00,2016-03-19 13:30,N,NULL
1016663,Raga 2016: Meera's Adventures (by Grace Kalaiselvi),2046487,2016-03-27 13:00,2016-03-27 13:30,N,NULL
1016662,Master Science in Professional Accountancy Information Session,2046383,2016-03-18 19:00,2016-03-18 21:00,N,NULL
1016661,ATC 2016: Cool Classics - PhilClarinets,2046378,2016-03-19 17:15,2016-03-19 17:45,N,NULL
1016661,ATC 2016: Cool Classics - PhilClarinets,2046379,2016-03-19 18:15,2016-03-19 18:45,N,NULL
1016661,ATC 2016: Cool Classics - PhilClarinets,2046380,2016-03-19 19:15,2016-03-19 19:45,N,NULL
1016660,Druv Kent Live,2046374,2016-03-19 20:50,2016-03-19 22:00,N,NULL
1016659,"SSO VCH Mar 2016 - America, America!",2046372,2016-03-19 20:35,2016-03-19 21:30,N,NULL
1016658,Sparks of Inspiration by More Than Music,2046369,2016-03-19 20:25,2016-03-19 21:00,N,NULL
1016657,Dauntless Spirit 2016 - SYCO & SCO Annual Concert,2046367,2016-03-19 20:25,2016-03-19 21:15,N,NULL
1016655,"Cool Classics: Kaiwen Miao, Placido Ho and Pauline Lee",2046359,2016-03-18 19:15,2016-03-18 19:45,N,NULL
1016655,"Cool Classics: Kaiwen Miao, Placido Ho and Pauline Lee",2046360,2016-03-18 20:15,2016-03-18 20:45,N,NULL
1016654,That Band Concert,2046358,2016-03-18 20:30,2016-03-18 21:15,N,NULL
1016649,AIMS PREVIEW 4,2046347,2016-03-17 18:30,2016-03-17 21:30,N,NULL
